;train_mae;train_rmse;train_r2;test_mae;test_rmse;test_r2
Linear Regression;1.2886307855118113;1.6882681674271318;0.3268262561121652;1.3028214002891214;1.6712923189765205;0.3484947028483445
Random Forest;0.46710214663709676;0.7035023232254743;0.8831105333848844;0.7244067312400011;1.0754449699728672;0.7302325778090071
Gradient Boosting;0.5345524856712268;0.7551378871621618;0.8653219480683733;0.7328751090796838;1.0788798902957828;0.728506577069969
